Date,Open,High,Low,Close,adj close,Volume,Company,SMA_10,SMA_50,Daily_Return,Volatility,RSI,Target_5d_Return
2023-12-21,571.4099731445312,575.0,567.02001953125,572.0,572.0,1786500,LLY,581.1839965820312,588.5771997070312,0.0031391556766247053,0.014189137468179422,43.16376427370865,
2023-12-22,573.02001953125,575.9000244140625,567.4199829101562,570.3900146484375,570.3900146484375,2225600,LLY,578.4179992675781,587.775,-0.0028146597055288547,0.013906324391018875,41.31546998751285,
2023-12-26,569.5,572.77001953125,567.6400146484375,570.6699829101562,570.6699829101562,1678700,LLY,577.0809997558594,587.0043994140625,0.0004908365408382576,0.013554064430712776,39.81823107349896,
2023-12-27,570.5,583.6799926757812,570.5,581.510009765625,581.510009765625,2163400,LLY,576.7559997558594,586.3017993164062,0.018995263777831006,0.014323166206618335,45.95103902854567,
2023-12-28,581.97998046875,586.6900024414062,580.0,580.8499755859375,580.8499755859375,1972800,LLY,575.0909973144531,585.7525988769531,-0.0011350349411071159,0.01432054517892016,46.105373092251114,
2023-12-21,372.55999755859375,374.4100036621094,370.0400085449219,373.5400085449219,373.5400085449219,17708000,MSFT,372.1010009765625,359.15140258789063,0.007878726097363176,0.009764520721668661,48.92817761531742,
2023-12-22,373.6799926757813,375.1799926757813,372.7099914550781,374.5799865722656,374.5799865722656,17091100,MSFT,372.13599853515626,360.0198022460938,0.0027841141606086417,0.009791085879441231,56.6470699225652,
2023-12-26,375.0,376.9400024414063,373.5,374.6600036621094,374.6600036621094,12673100,MSFT,372.4720001220703,360.9584020996094,0.00021361816624532182,0.009758526728763444,52.8442424006438,
2023-12-27,373.6900024414063,375.05999755859375,372.80999755859375,374.0700073242188,374.0700073242188,14905400,MSFT,372.4410003662109,361.787001953125,-0.0015747513268661306,0.009390967757412997,57.63989905961224,
2023-12-28,375.3699951171875,376.4599914550781,374.1600036621094,375.2799987792969,375.2799987792969,14298000,MSFT,372.53200073242186,362.6514019775391,0.0032346657881858754,0.009191592568330189,56.45301986867011,
2023-12-21,488.1099853515625,490.9500122070313,484.1900024414063,489.8999938964844,489.8999938964844,30042500,NVDA,483.8999969482422,462.4615997314453,0.01827026836389334,0.01935383009973802,58.86383486127888,
2023-12-22,491.9500122070313,493.8299865722656,484.6700134277344,488.2999877929688,488.2999877929688,25213900,NVDA,485.2239959716797,462.8385992431641,-0.003265985146865824,0.01881717148077038,64.49021192076623,
2023-12-26,489.6799926757813,496.0,489.6000061035156,492.7900085449219,492.7900085449219,24420000,NVDA,487.87599792480466,463.6021997070313,0.009195209633830137,0.01880431043144208,62.50345288132047,
2023-12-27,495.1099853515625,496.7999877929688,490.8500061035156,494.1700134277344,494.1700134277344,23364800,NVDA,489.63599853515626,464.2665997314453,0.0028003913611951425,0.018659080423532093,69.71986821234863,
2023-12-28,496.4299926757813,498.8399963378906,494.1199951171875,495.2200012207031,495.2200012207031,24622700,NVDA,491.0699981689453,465.38339965820313,0.0021247501152197312,0.018624394655952548,66.37197547939827,
2023-12-21,251.8999938964844,254.8000030517578,248.5500030517578,254.5,254.5,109594200,TSLA,247.53699951171876,232.67959991455078,0.029780693649462897,0.021229536405945472,63.31803304540574,
2023-12-22,256.760009765625,258.2200012207031,251.3699951171875,252.5399932861328,252.5399932861328,93249800,TSLA,248.40699920654296,232.5529998779297,-0.007701401626197146,0.021398131705101804,64.7375642478723,
2023-12-26,254.4900054931641,257.9700012207031,252.9100036621093,256.6099853515625,256.6099853515625,86892400,TSLA,250.0939971923828,232.6627996826172,0.01611622781987765,0.02157377118665056,65.29842975659533,
2023-12-27,258.3500061035156,263.3399963378906,257.5199890136719,261.44000244140625,261.44000244140625,106494400,TSLA,252.53699798583983,232.8131997680664,0.018822405072142834,0.019685065283241408,67.61372603652563,
2023-12-28,263.6600036621094,265.1300048828125,252.7100067138672,253.17999267578125,253.17999267578125,113157100,TSLA,253.92599792480468,232.7797994995117,-0.03159428430420175,0.020975488945315385,57.79123937451626,
2023-12-21,154.0,155.05999755859375,153.91000366210938,154.8000030517578,154.8000030517578,6695900,WMT,153.14300231933595,158.93460021972658,0.007091251644531171,0.01000978420580789,51.30092562625413,
